year,DAVY6b,DAVY4b,DAVY3b,DAVY2b,DAVY1b,HBR1b,HBR2b,HBR3b,HBR4b,HBR5b,HBR6b,HF1115b,HF1130b,HF1215b,HF1230b,HF1Rb,HF1315b,HF110b,HF1330b,HF130b,HDF2315,HF2Rb,HF210b,HDF220b,HDF230b,HF2130b,HF2330a,HS1130b,HS1230b,HS130b,HS1330b,HS120b,HS1215b,HS1315b,HS1Rb,HS110b,HS2330b,HS2Rb,HS2230b,HS2215b,HS230b,HS220b,HS210b,HS2315b,LBR1b,LBR2b,LBR3b,LBR4b,LBR5b,LF110b,LF1315b,LF1130b,LF120a,LF1230b,LF1Ra,LF130a,LF1215b,LF1115b,LF2130b,LF210b,LF2115b,LF220b,LF2215b,LF2230b,LF2Rb,LF230a,LF2330a,LF2315b,LF3Rb,LF3330a,LF3315a,LF330a,LDF320A,LF3230a,LF3215a,LF3115a,LF3130b,LS1115B,LS130A,LS120A,LS1215a,LDS1T1A,LS1330b,LS1R,LS1230a,LS2215a,LS2RA,LS2130a,LS2315a,LS320a,LS310b,LS3115a,LS3130a,LS3215a,LS3230A,LS330b,MF1215a,MF1230a,MDF110a,MF1Ra,MF120a,MF1330a,MF1115a,MF130a,MF1315a,MF1130a,MF220a,MF2215a,MF230a,MF210b,MF2230a,MF2315a,MF2130a,MF2115a,MF2330a,MF320a,MF3215a,MF3315a,MF330a,MF310a,MF3Ra,MF3330a,MF3130a,MF3115a,MF3230a,MF4115a,MF4Ra,MF4315b,MF410a,MF4130a,MF4215a,MD420C,MD430c,MS1130a,MS130a,MS1230a,MS1115b,MS110a,MS1Ra,MS1215a,MS120b,MS1315b,1330A,MS2130a,MS210a,MS2215b,MS230b,MS220a,MS2315c,MS23b
1957,0.691,0.448,0.4145,0.4795,0.7225,0.217,0.485,0.505,0.4355,1.087,0.2515,0.5945,,0.41,,0.773,0.8675,,,0.2625,,,0.8185,,0.2705,1.703,0.96,0.9005,1.0605,0.7865,0.828,,0.5755,0.2785,,,0.6,0.367,,0.383,0.518,0.758,0.5525,0.6005,,,,0.1605,0.474,,,,0.201,,1.302,,,,,,,0.9365,,,,,0.41,,,,,0.5525,,,,,,0.7495,0.2285,,0.8535,0.631,0.952,1.6735,0.221,0.571,0.841,0.851,0.3955,,,,,,,,,,,,0.522,,,0.3695,,,0.375,0.5675,,0.4455,,1.873,0.4465,1.1725,0.601,0.3805,,,,,0.6935,,,0.62,0.611,,,,0.3565,0.7765,0.327,1.02,0.579,0.2895,0.238,0.2625,,0.4095,0.6575,0.4595,0.571,0.312,,,,,,,,0.315
1958,1.037,0.788,0.4145,1.248,1.1235,0.61,1.052,1.033,0.645,1.472,0.396,0.6985,,0.344,0.612,0.9975,1.384,,,0.2825,0.205,,0.858,,0.284,1.29,1.1685,0.507,0.7125,0.4595,0.6745,0.537,0.4835,0.1845,,0.239,1.0095,0.533,,0.4725,0.603,0.951,0.8125,0.765,,,,0.138,0.898,,,,0.402,,1.714,,,,,,,1.455,,,,,1.078,,,,,0.4115,,,,,,0.687,0.476,,1.438,0.796,1.588,2.434,0.7005,0.864,1.46,1.602,0.6815,,,,,,,,,,,,0.7885,0.423,,0.5345,,,0.494,0.9305,,0.415,,2.243,0.866,1.2965,0.49,0.5405,,,,,0.9005,,,0.784,0.719,,,,0.3685,1.141,0.4975,1.387,0.68,0.2305,0.5225,0.3735,,0.599,0.157,0.68,0.4915,0.75,,,,,,,,0.434
1959,0.998,0.521,0.9025,0.891,0.7675,0.649,0.95,0.6755,0.691,1.1235,0.438,0.642,,0.392,0.4955,0.966,1.3545,,,0.2935,0.099,,0.682,,0.263,0.978,0.79,0.522,0.634,0.605,0.727,0.571,0.615,0.327,,0.5195,0.975,0.4365,0.254,0.304,0.698,0.745,0.205,0.6925,,,0.2175,0.2215,0.597,,,,0.275,,1.206,,,,,,,1.3345,,,,,0.948,,,,,0.364,,,,,,0.8205,0.444,,0.8945,1.2525,0.935,1.8075,0.6175,0.571,1.19,1.4875,0.6485,,,,,,,,,,,,0.728,0.306,,0.458,,,0.39,0.9635,,0.372,,2.1005,0.818,1.046,0.441,0.3125,,,,,0.9475,1.761,,0.854,0.811,,,,0.2975,0.809,0.6645,1.178,0.68,0.162,0.4595,0.3525,0.109,0.426,0.46,0.6,0.6885,0.409,,,,,,,,0.444
1960,0.875,0.539,0.633,1.0355,0.9175,0.8825,1.9,1.0995,0.717,2.025,0.582,0.651,,0.806,0.8095,0.8235,1.382,0.5875,,0.4175,0.366,,0.5865,,0.388,0.605,0.997,1.0125,1.109,1.021,1.3755,0.6335,0.9005,0.3865,,0.5165,0.9895,0.7755,0.3445,0.3485,0.952,0.8235,0.546,0.698,,0.284,0.208,0.403,0.677,,,,0.614,,2.094,,,,,,,2.181,,,,,1.768,,,,,0.411,,,,,,0.743,0.474,,1.219,1.4775,1.159,2.455,0.612,0.689,1.2845,1.201,0.6035,,,,,,,,,,,,0.6815,0.458,,0.637,0.706,,0.6415,1.154,0.7685,0.4935,,2.199,1.2625,1.7895,0.5675,0.5515,,,,,1.01,1.397,,0.7605,0.9955,,,0.17,0.412,0.9205,0.8035,1.373,0.697,0.3495,0.4755,0.3645,0.1385,0.475,0.6495,0.6815,0.724,0.567,,,,,,,,0.635
1961,0.727,0.3975,0.479,0.9485,0.6355,0.9815,1.5225,0.793,0.5935,2.044,0.7605,0.904,,0.7445,0.5575,0.762,1.0755,0.54,,0.311,0.443,,0.6345,0.261,0.3545,0.905,0.823,1.236,0.998,0.657,1.3505,0.682,0.6705,0.7255,,0.406,1.047,0.8055,0.4255,0.4265,0.857,0.7595,0.351,0.6735,,0.2155,0.179,0.3585,0.4875,,,,0.497,,1.586,,2.263,,,,,1.736,,,,,1.004,,,,,0.5045,,,,,,0.949,0.6715,,1.027,1.5275,0.915,2.184,0.277,0.603,1.1275,1.287,0.3805,,,,,,,,,0.396,,0.4455,0.682,0.4995,,0.689,0.5955,,0.674,1.076,0.44,0.5525,,1.842,1.423,1.301,0.647,0.6465,,,,,1.332,1.442,2.977,0.8085,1.0535,,0.3025,0.28,0.5535,1.031,0.716,1.354,0.722,0.3735,0.5325,0.4585,0.17,0.57,0.7405,0.6795,0.7435,0.536,,,,,,,,0.791
1962,0.945,0.5715,0.6195,0.828,0.6065,0.625,0.905,0.6985,0.525,1.0605,0.873,0.6495,,1.0145,0.4265,0.6175,0.675,0.6345,,0.291,0.633,0.189,0.5395,0.3825,0.4415,1.038,0.5075,0.9505,1.153,0.645,1.108,0.7145,1.188,0.6795,,0.766,0.792,0.7275,0.347,0.459,0.57,0.7115,0.7065,0.5005,,0.2445,0.2355,0.248,0.3465,,,,0.423,,0.825,,1.753,,,,,0.6535,,,,,0.47,,,,,0.449,,,,,,0.806,0.5195,,0.6805,1.1815,0.596,1.342,0.309,0.404,0.983,0.9345,0.428,,,,,,,,0.51,0.4165,,0.4225,0.793,0.6035,,0.853,0.6525,,0.6755,0.523,0.345,0.8095,,1.4225,1.106,1.2045,0.662,0.8375,,,,,0.9685,0.9365,1.871,0.698,1.0795,,0.2585,0.495,0.7355,0.3175,0.576,0.831,0.578,0.5195,0.2855,0.4325,0.143,0.4595,0.7035,0.427,0.6985,0.271,,,,0.522,,,,0.665
1963,1.002,0.6025,0.6305,0.6555,0.7205,0.6695,1.4275,0.688,0.609,1.59,0.8765,0.378,,0.9835,0.624,0.7925,0.9485,0.4145,,0.339,0.6595,0.1735,0.5395,0.3545,0.571,1.451,0.798,0.792,0.8215,0.5315,0.7605,0.6665,0.631,0.5335,0.437,0.6335,0.913,0.729,0.396,0.775,0.57,0.7115,0.482,0.666,,0.256,0.39,0.2645,0.5365,0.4505,,,0.762,,1.429,,1.25,,,,,0.958,,,,,0.571,0.338,,,,0.4835,,,,,,0.728,0.6225,,1.0445,1.219,0.701,1.3725,0.364,0.453,1.075,1.3075,0.6185,,,,,,,,0.4415,0.1625,,0.469,0.9515,0.6335,,1.0435,0.3895,,0.743,0.857,0.376,0.7325,,1.368,1.105,1.11,0.742,0.6985,,,,,0.9995,1.158,1.726,0.619,0.9985,,0.312,0.412,0.6925,0.825,0.6705,0.947,0.539,0.519,0.4185,0.4065,0.1755,0.4895,0.778,0.664,0.7455,0.457,0.297,0.4105,0.234,0.228,,,,0.602
1964,0.649,0.358,0.367,0.7135,0.553,0.516,1.242,0.803,0.3505,1.546,0.667,0.3185,,0.4445,0.4215,0.4905,0.8025,0.144,,0.2325,0.323,0.192,0.468,0.41,0.1985,0.73,0.547,0.682,0.726,0.4555,0.634,0.5875,0.5065,0.708,0.8035,0.6495,0.567,0.5225,0.317,0.411,0.412,0.529,0.309,0.341,,0.2615,0.2905,0.185,0.647,0.1735,,,0.402,,1.397,,1.1915,,,,,1.0445,,,,,0.353,0.2295,,,,0.259,,,,,,0.6015,0.718,0.121,1.016,1.297,0.88,1.326,0.253,0.571,0.988,1.245,0.601,,,,,,,0.4305,0.187,0.169,,0.246,0.523,0.2945,,0.582,0.2385,,0.42,0.8255,0.239,0.6795,,1.163,0.806,1.2935,0.4265,0.5395,,,,0.969,0.9515,1.27,1.412,0.5235,0.6655,,0.342,0.315,0.3225,0.508,0.4205,0.675,0.275,0.3005,0.4445,0.38,0.1865,0.348,0.4285,0.4735,0.523,0.441,0.717,0.3105,0.139,0.217,,,,0.698
1965,0.619,0.502,0.429,0.791,0.7245,0.7225,1.259,0.8375,0.5015,1.2345,0.527,0.4275,,0.476,0.4735,0.38,0.6135,0.179,,0.2135,0.426,0.2715,0.4035,0.3655,0.2775,0.729,0.573,0.761,0.723,0.4575,0.73,0.6985,0.551,0.776,0.5705,0.507,0.4735,0.3645,0.459,0.3785,0.443,0.373,0.279,0.4365,,0.2085,0.2005,0.2055,0.583,0.3335,,,0.645,,1.016,,1.3085,,,,,1.281,,,,,0.447,0.26,,,,0.247,,,,,,0.539,0.7315,0.0945,0.831,0.9895,0.523,1.4505,0.2055,0.491,0.921,0.821,0.4745,,,,,,,0.3715,0.2715,0.2425,,0.254,0.46,0.382,,0.691,0.6225,,0.379,0.6175,0.2375,0.5895,,1.2575,0.775,1.262,0.3475,0.539,,0.2295,2.8965,1.39,0.948,1.2765,1.3295,0.46,0.8165,,0.188,0.158,0.2125,0.476,0.359,0.823,0.131,0.285,0.381,0.389,0.185,0.348,0.6325,0.5355,0.5865,0.25,0.411,0.292,0.17,0.341,,,,0.54
1966,0.511,0.352,0.395,0.657,0.679,0.656,1.0945,0.818,0.4955,1.2655,0.6485,0.3965,0.385,0.6935,0.4915,0.459,0.457,0.172,,0.27,0.606,0.266,0.364,0.2765,0.253,0.799,0.514,0.571,0.519,0.351,0.4125,0.3805,0.3585,0.4815,0.301,0.3645,0.395,0.301,0.395,0.3935,0.317,0.2375,0.262,0.254,,0.1925,0.4335,0.269,0.441,0.2485,,,0.698,,1.397,,1.165,,,,,0.9885,,,,,0.498,0.3835,,,,0.296,,,,,,0.5075,0.575,0.1255,0.6965,1.0775,0.538,1.119,0.2055,0.398,0.73,1.011,0.411,,,,,,,0.5545,0.3895,0.5075,0.347,0.247,0.381,0.414,,0.495,0.408,0.4645,0.364,0.365,0.214,0.5025,,1.228,0.475,0.911,0.38,0.475,,0.311,1.9585,1.224,0.8375,1.463,1.1195,0.4275,0.5855,0.1515,0.1145,0.126,0.286,0.4095,0.27,0.761,0.309,0.301,0.3485,0.249,0.2465,0.2845,0.557,0.518,0.5015,0.177,0.635,0.2805,0.241,0.403,,,,0.662
1967,0.616,0.5845,0.72,0.6805,1.105,0.8025,1.5815,0.8315,0.6615,1.266,0.8685,0.571,0.3785,1.116,0.883,0.6665,0.5335,0.477,0.369,0.447,0.6545,0.3395,0.5695,0.3195,0.4485,1.011,0.47,0.46,0.552,0.4165,0.444,0.4445,0.3505,0.424,0.317,0.2855,0.363,0.6,0.739,0.8085,0.475,0.5075,0.4625,0.4445,,0.2815,0.4765,0.5845,0.4905,0.575,,,0.889,,1.549,,1.257,,,,,1.2635,,,,,0.563,0.5395,,,,0.5065,,,,,,0.9515,0.7185,0.2615,1.0395,1.214,0.76,1.333,0.2685,0.571,1.0755,1.6345,0.521,,,,,,,0.7375,0.3125,0.41,0.458,0.2625,0.522,0.475,,0.9015,0.502,0.5955,0.648,0.44,0.2375,0.598,,1.707,0.5385,1.0775,0.757,0.8075,,0.478,1.7285,1.7245,1.1415,1.6835,1.5295,0.6805,0.977,0.165,0.2225,0.284,0.299,0.416,0.2835,0.809,0.22,0.585,0.428,0.3875,0.27,0.5375,0.8095,0.7355,0.735,0.182,0.381,0.4595,0.107,0.496,,,1.674,0.83
1968,0.476,0.4755,0.558,0.5475,0.724,0.7295,1.082,0.771,0.5875,1.6465,0.8425,0.635,0.352,0.73,0.7705,0.523,0.5075,0.3485,0.5425,0.333,0.577,0.2635,0.427,0.2795,0.33,0.794,0.473,0.3005,0.4735,0.355,0.3645,0.3965,0.2055,0.22,0.399,0.222,0.4105,0.6465,0.5045,0.5865,0.539,0.603,0.4765,0.444,,0.267,0.2535,0.454,0.586,0.3495,,,0.666,0.54,1.592,,1.108,,0.264,,,1.1225,,,,,0.954,0.476,,,,0.455,,,,,,0.9355,0.61,0.28,1.0195,1.6905,0.951,1.3975,0.237,0.712,1.353,1.546,0.568,,,1.07,,,,0.5725,0.2365,0.2675,0.5945,0.273,0.521,0.3115,,0.756,0.58,0.5355,0.442,0.543,0.194,0.5015,,1.5995,0.553,1.1375,0.5045,0.76,,0.4575,1.8835,1.648,0.9205,1.8385,1.598,0.7125,1.0245,0.1485,0.1755,0.158,0.3085,0.364,0.4155,0.885,0.275,0.537,0.365,0.442,0.381,0.411,0.7135,0.594,0.6025,0.265,0.543,0.4365,0.181,0.468,,0.6565,1.107,0.666
1969,0.635,0.5805,0.64,0.4785,0.7015,0.699,1.0155,0.713,0.7135,1.2975,0.8985,0.8255,0.349,0.8085,0.665,0.8405,0.6165,0.581,0.376,0.4945,0.7235,0.3805,0.5705,0.259,0.328,0.857,0.458,0.5125,0.6165,0.417,0.6495,0.725,0.488,0.378,0.7905,0.459,0.4595,0.8335,0.631,0.5545,0.665,0.7935,0.5225,0.476,0.253,0.474,0.4595,0.72,0.554,0.2615,,0.196,1.206,0.408,1.46,,1.538,,0.222,,,1.233,,,,,0.987,0.5395,,,,0.7375,,,,,,0.9185,0.5645,0.3385,0.9845,1.233,0.666,1.5305,0.21,0.721,0.984,1.3,0.4895,,,0.586,,,0.285,0.889,0.3955,0.5195,0.818,0.296,0.6005,0.3115,,1.0265,0.689,0.4115,0.4455,0.507,0.281,0.548,,1.535,0.759,0.9655,0.787,0.9345,,0.327,1.764,1.6675,1.19,1.6165,1.899,0.728,1.182,0.111,0.2685,0.222,0.2885,0.4275,0.3835,0.698,0.264,0.694,0.3965,0.6605,0.238,0.474,0.778,0.9105,0.713,0.141,0.727,0.556,0.258,0.5,,0.759,0.746,0.857
1970,0.596,0.3105,0.3185,0.5035,0.7665,0.6555,0.8255,0.725,0.499,1.388,0.8535,0.8095,0.425,1.0625,0.7705,0.7135,0.5375,0.612,0.5385,0.4925,0.853,0.4395,0.5235,0.4705,0.2965,0.857,0.3825,0.436,0.537,0.494,0.5345,0.5895,0.5515,0.5035,0.612,0.5065,0.4275,0.8485,0.513,0.364,0.507,0.5395,0.431,0.4125,0.0625,0.5205,0.5045,0.9895,0.363,0.395,,0.1925,1.587,0.884,1.079,,1.3565,,0.2085,,,0.7955,,,,,0.336,0.6035,,,,0.449,,0.49,,,,0.807,0.531,0.342,0.93,1.5355,0.603,1.5825,0.168,0.629,0.968,1.106,0.4415,,,0.3915,,,0.547,0.717,0.3165,0.517,0.444,0.3685,0.4105,0.6945,,0.711,0.738,0.6815,0.4215,0.443,0.333,0.4195,,1.1825,0.696,0.981,0.6595,0.633,,0.4985,0.6755,1.0315,0.6025,0.982,1.0515,0.3095,0.8195,0.181,0.349,0.316,0.4285,0.4265,0.448,0.773,0.297,0.6475,0.3905,0.4735,0.333,0.442,0.5395,0.5975,0.5235,0.222,0.666,0.859,0.317,0.824,,0.739,1.02,0.857
1971,0.348,0.329,0.2465,0.5205,0.8365,0.6295,0.7975,0.5985,0.398,1.5745,0.665,0.857,0.3495,0.9975,0.814,0.634,0.647,0.707,0.3805,0.5665,0.9625,0.509,0.4715,0.331,0.39,0.54,0.2565,0.316,0.4585,0.525,0.489,0.574,0.5355,0.504,0.5455,0.585,0.539,0.959,0.371,0.4265,0.603,0.555,0.417,0.4125,0.1725,0.7245,0.5545,1.0335,0.346,0.261,,0.1505,1.81,0.879,1.079,3.5155,1.651,,0.289,,,0.7925,1.869,,,,0.405,0.603,,,,0.2595,,0.346,,,,1.0575,0.759,0.3475,0.926,1.6605,0.635,2.1905,0.23,0.667,0.9525,1.229,0.4375,,,0.6335,,,0.3595,0.771,0.8225,0.5825,0.6205,0.5635,0.411,1.277,3.9275,0.743,0.6505,0.856,0.575,0.523,0.535,0.531,,1.178,0.699,1.038,0.582,0.7445,,0.739,0.5955,1.0515,0.619,1.3535,1.654,0.3875,0.7875,0.2535,0.4895,0.444,0.404,0.3505,0.408,0.738,0.244,0.5525,0.4185,0.631,0.403,0.425,0.571,0.614,0.6025,0.285,0.794,1.256,0.376,0.994,,0.615,1.07,0.762
1972,0.223,0.128,0.1765,0.2755,0.4625,0.4065,0.4465,0.252,0.267,0.488,0.3805,0.6335,0.192,0.5225,0.272,0.4275,0.3005,0.226,0.198,0.3715,0.4895,0.2965,0.3375,0.228,0.2845,0.38,0.2,0.3785,0.427,0.387,0.3635,0.333,0.456,0.2995,0.6505,0.584,0.3965,0.393,0.3595,0.2055,0.285,0.317,0.328,0.396,0.1715,0.362,0.299,0.613,0.2045,0.106,0.213,0.201,1.492,0.738,0.444,1.7875,1.056,,0.29,,,0.373,1.2805,,,,0.292,0.476,0.299,,,0.1735,,0.346,,,,0.6305,0.3705,0.2455,0.292,0.9325,0.224,0.755,0.1185,0.269,0.4415,0.4715,0.1405,,,0.5565,,,0.2285,0.3125,0.379,0.4565,0.163,0.2845,0.2215,0.458,1.8355,0.459,0.3705,0.459,0.372,0.2055,0.353,0.3385,0.274,0.6005,0.3905,0.454,0.283,0.2695,,0.247,0.6525,0.723,0.413,1.018,1.171,0.2855,0.4965,0.207,0.117,0.254,0.2055,0.2585,0.212,0.262,0.165,0.5215,0.196,0.4875,0.104,0.2995,0.5225,0.536,0.3325,0.096,0.444,0.7095,0.226,0.146,,0.393,0.493,0.413
1973,0.269,0.1795,0.172,0.3435,0.5935,0.363,0.4185,0.414,0.2275,0.7075,0.428,0.9185,0.2865,0.617,0.3075,0.4595,0.332,0.2815,0.227,0.3935,0.5365,0.3485,0.3485,0.3295,0.2935,0.545,0.3,0.473,0.4535,0.4345,0.4115,0.4105,0.446,0.2995,0.5075,0.49,0.491,0.4405,0.3835,0.2685,0.38,0.3645,0.2355,0.333,0.159,0.836,0.363,0.7225,0.282,0.1155,0.2065,0.1345,1.587,0.913,0.603,1.9845,0.9665,,0.296,0.279,,0.758,1.235,0.917,,,0.439,0.317,0.2555,,,0.227,,0.691,1.101,,,0.914,0.655,0.312,0.498,1.5475,0.341,1.235,0.1375,0.389,0.6375,0.7455,0.2595,,1.3135,0.504,,,0.6655,0.3045,0.408,0.4565,0.341,0.4905,0.3325,0.584,1.9745,0.349,0.3815,0.442,0.489,0.4115,0.555,0.569,0.2965,1.153,0.679,1.0635,0.3315,0.222,0.609,0.5565,0.936,0.8175,0.46,1.2125,1.1375,0.311,0.5385,0.274,0.141,0.286,0.3045,0.1635,0.2725,0.536,0.344,0.4905,0.3275,0.4405,0.3775,0.2835,0.4075,0.4415,0.4565,0.285,0.317,1.087,0.475,0.434,0.32,0.7105,0.504,0.667
1974,0.605,0.368,0.33,0.708,0.9945,0.6685,0.655,0.5435,0.452,0.833,0.902,1.3315,0.4135,1.376,0.4935,0.997,0.712,0.5695,0.206,0.6985,0.9425,0.5855,0.7125,0.502,0.428,0.882,0.397,0.284,0.2105,0.2535,0.253,0.252,0.2605,0.1575,0.3645,0.1605,0.6965,1.0415,0.8035,0.3795,0.508,0.7135,0.5435,0.476,0.2775,1.1245,0.566,1.2235,0.2705,0.3175,0.2975,0.212,1.905,1.01,0.794,1.936,2.07,,0.365,0.325,,1.2955,1.298,0.7855,,,0.689,0.6635,0.246,,,0.409,,0.682,0.964,,,1.363,0.9755,0.343,0.591,2.0665,0.387,1.4215,0.1825,0.325,0.889,1.3,0.3845,,1.4195,0.5955,,,0.6835,0.573,0.745,0.912,0.422,0.771,0.4905,0.9395,1.934,0.7145,0.6815,0.7565,1.1865,0.809,0.9675,0.933,0.3905,1.7625,1.152,1.5125,0.71,0.4435,0.898,0.823,1.158,1.1705,0.507,1.581,1.1645,0.322,0.638,0.3525,0.262,0.444,0.386,0.6955,0.343,0.705,0.322,0.903,0.4605,0.708,0.5335,0.4725,0.831,0.837,0.5735,0.412,0.603,0.8625,0.838,0.915,0.495,0.997,0.884,1.302
1975,0.463,0.2725,0.1985,0.4705,0.585,0.5595,0.655,0.4545,0.3115,0.77,0.8365,0.918,0.434,1.1865,0.4095,0.831,0.549,0.418,0.301,0.477,0.829,0.633,0.6955,0.3795,0.396,0.634,0.3645,0.3145,0.237,0.2935,0.253,0.2345,0.1815,0.184,0.46,0.2025,0.886,0.742,0.7165,0.3315,0.381,0.5545,0.5885,0.381,0.2075,0.95,0.4405,1.208,0.2225,0.2675,0.1695,0.2485,1.27,1.197,0.825,1.8095,1.562,,0.535,0.364,,1.001,1.1015,0.985,,,0.443,0.441,0.2235,,1.118,0.479,,0.507,0.779,,,1.1575,0.77,0.2825,0.32,1.896,0.359,1.418,0.1345,0.325,0.761,1.489,0.3785,0.2835,0.8975,0.7095,,4.763,0.5385,0.6615,0.824,1.0245,0.314,0.59,0.411,0.704,1.7875,0.444,0.648,0.772,0.9935,0.6345,0.761,0.792,0.347,1.461,1.089,1.2055,0.68,0.3805,0.5495,0.871,1.0735,1.156,0.38,1.0415,1.06,0.2945,0.5445,0.3625,0.266,0.666,0.4155,0.5335,0.318,0.516,0.476,0.5705,0.3805,0.805,0.3765,0.5655,0.7135,1.119,0.458,0.222,0.444,0.831,0.722,0.815,0.4355,0.697,0.705,0.762
1976,0.65,0.2605,0.206,0.459,0.8495,0.5055,0.8255,0.534,0.51,0.8475,0.866,1.2185,0.6095,1.2955,0.362,0.8165,0.5755,0.47,0.2375,0.474,1.3005,0.7915,0.5585,0.3585,0.491,0.729,0.364,0.377,0.3315,0.353,0.396,0.2545,0.2645,0.21,0.511,0.4575,0.839,0.868,0.8275,0.316,0.443,0.5225,0.5685,0.349,0.259,1.1875,0.4245,0.8835,0.211,0.1825,0.273,0.255,1.3,1.434,0.666,1.7885,1.691,,0.4475,0.3635,1.062,0.8945,1.203,1.068,,,0.485,0.63,0.494,,0.292,0.4865,,0.539,1.505,,,1.015,0.8395,0.345,0.501,1.722,0.307,1.3645,0.1315,0.397,0.628,1.3295,0.3925,0.3925,1.006,0.601,,2.53,0.663,0.8845,0.8215,0.977,0.551,0.5685,0.458,0.6735,1.784,0.6185,0.6325,0.741,0.8075,0.4915,0.761,1.0305,0.322,1.49,1.1785,1.4955,0.552,0.3645,0.601,0.8115,1.074,1.064,0.411,1.034,1.4635,0.212,0.5715,0.4085,0.3585,0.793,0.4565,0.4705,0.331,0.636,0.317,0.6655,0.3795,0.711,0.504,0.424,0.697,0.9135,0.4265,0.222,0.476,1.2125,0.849,0.91,0.704,0.6315,0.721,0.762
1977,0.804,0.4005,0.406,0.8045,1.124,0.782,1.044,0.7205,0.767,1.236,1.388,1.773,0.6285,1.5175,0.567,1.148,0.887,0.6145,0.3165,0.6165,1.553,0.8685,0.707,0.416,0.396,0.958,0.491,0.3925,0.2675,0.288,0.364,0.2685,0.2845,0.268,0.475,0.4665,0.838,1.1565,1.1295,0.4265,0.504,0.744,0.701,0.4285,0.4515,1.485,0.787,1.299,0.291,0.3095,0.227,0.231,2.28,1.745,0.888,2.3625,2.649,,0.5585,0.6,1.352,1.8695,1.7965,1.333,,,0.94,0.789,0.448,,0.326,0.805,,0.952,2.479,4.977,,1.3795,0.9515,0.4485,0.33,2.352,0.413,1.1015,0.157,0.389,0.7995,1.394,0.4855,0.388,1.488,0.8715,,2.689,0.6595,1.289,0.932,1.353,0.6455,0.7115,0.9025,1.0605,2.354,0.841,1.094,0.975,1.3705,0.8725,0.745,1.269,0.479,1.9835,1.797,2.473,0.8045,0.6495,0.6375,1.0495,1.6475,1.5285,0.55,1.69,2.31,0.4915,1.026,0.546,0.4305,0.822,0.5435,0.7215,0.4315,0.775,0.571,1.0775,0.65,0.9005,0.745,0.8055,1.1035,1.145,0.555,0.392,0.286,1.2375,0.85,0.988,0.691,0.9035,1.275,1.111
